Loops,Steps,Time,AvgLoss,MeanReward,StdReward,TotalReward,Flags
1,4096,21.390571,-0.7509,0.2219,0.4355,908.78,0.0
2,8192,41.082963,0.6298,0.0991,0.3051,406.02,0.0
3,12288,60.572668,0.0392,0.0580,0.2314,237.45,0.0
4,16384,80.187595,0.5373,0.1240,0.3275,508.00,0.0
5,20480,99.828367,0.5970,0.1954,0.4127,800.50,0.0
6,24576,119.553021,1.2267,0.2175,0.4543,891.03,0.0
7,28672,139.247683,0.5494,0.2294,0.4284,939.60,0.0
8,32768,158.786537,0.7707,0.2357,0.4612,965.58,0.0
9,36864,178.385591,0.7025,0.1951,0.4057,799.00,0.0
10,40960,198.188412,0.7659,0.2192,0.4750,897.93,0.0
11,45056,217.938638,0.5311,0.2522,0.4824,1032.90,0.0
12,49152,237.591311,1.0940,0.2686,0.4969,1100.07,0.0
13,53248,257.371474,0.7703,0.2940,0.4912,1204.15,0.0
14,57344,277.226392,0.7763,0.2865,0.5071,1173.65,0.0
15,61440,297.079983,1.4088,0.2721,0.4866,1114.32,0.0
16,65536,317.009112,0.4041,0.3363,0.5197,1377.38,0.0
17,69632,337.107493,1.3378,0.3180,0.5230,1302.72,0.0
18,73728,357.431859,0.5596,0.3156,0.5371,1292.52,0.0
19,77824,377.610427,1.2713,0.2802,0.5577,1147.75,0.0
20,81920,397.518615,0.5640,0.3125,0.5639,1280.18,0.0
21,86016,417.812540,0.7877,0.3030,0.5354,1241.15,0.0
22,90112,437.944731,0.6621,0.3377,0.5321,1383.17,0.0
23,94208,458.021341,0.7053,0.3552,0.5536,1454.88,0.0
24,98304,477.994077,1.4351,0.3480,0.5477,1425.47,0.0
25,102400,498.098385,0.9938,0.3710,0.5346,1519.53,0.0
26,106496,518.182175,1.0858,0.3641,0.5562,1491.18,0.0
27,110592,538.036410,1.0753,0.3299,0.5504,1351.45,0.0
28,114688,557.913418,0.4055,0.3357,0.5252,1375.12,0.0
29,118784,578.189037,0.8345,0.3269,0.5593,1338.97,0.0
30,122880,597.916286,0.9836,0.3511,0.5454,1437.97,0.0
31,126976,617.803486,0.8677,0.3642,0.5598,1491.75,0.0
32,131072,637.715552,1.0236,0.3514,0.5853,1439.27,0.0
33,135168,657.465103,1.2619,0.3568,0.5792,1461.43,0.0
34,139264,677.324288,1.0683,0.3784,0.5631,1550.07,0.0
35,143360,696.903144,1.2463,0.3697,0.5738,1514.38,0.0
36,147456,716.709919,1.0176,0.3492,0.5611,1430.20,0.0
37,151552,736.380489,1.3058,0.3691,0.5562,1512.00,0.0
38,155648,756.087266,0.8864,0.3815,0.5630,1562.57,0.0
39,159744,776.106584,1.1141,0.3686,0.5685,1509.75,0.0
40,163840,802.204598,0.8972,0.3834,0.5606,1570.25,0.0
41,167936,822.023345,1.0929,0.4049,0.5366,1658.55,0.0
42,172032,841.973001,0.8227,0.3989,0.5449,1633.90,0.0
43,176128,861.766539,1.1129,0.3576,0.5698,1464.55,0.0
44,180224,881.614478,1.2805,0.3392,0.5801,1389.18,0.0
45,184320,901.344004,0.2349,0.3370,0.5558,1380.35,0.0
46,188416,921.042758,0.5699,0.2604,0.4948,1066.72,0.0
47,192512,940.723237,0.5220,0.3147,0.5074,1288.97,0.0
48,196608,960.497621,0.6291,0.2620,0.4870,1073.33,0.0
49,200704,980.212393,0.9321,0.2632,0.5032,1078.05,0.0
50,204800,999.960909,0.5533,0.3282,0.5580,1344.30,0.0
51,208896,1019.612119,0.4589,0.3668,0.5439,1502.57,0.0
52,212992,1039.295388,1.3616,0.3605,0.5565,1476.45,0.0
53,217088,1059.039835,0.7848,0.3993,0.5725,1635.70,0.0
54,221184,1078.715081,0.9071,0.4016,0.5828,1645.05,0.0
55,225280,1098.484750,1.1802,0.4055,0.6132,1660.85,0.0
56,229376,1118.333933,1.4379,0.3503,0.5892,1434.65,0.0
57,233472,1138.230838,0.5923,0.4185,0.5655,1714.38,0.0
58,237568,1157.903052,1.0865,0.3764,0.5946,1541.65,0.0
59,241664,1177.710851,1.0378,0.3724,0.5871,1525.43,0.0
60,245760,1197.688272,0.7157,0.3905,0.5597,1599.65,0.0
61,249856,1217.710602,0.5889,0.3185,0.5440,1304.75,0.0
62,253952,1237.758679,0.4830,0.2836,0.5250,1161.70,0.0
63,258048,1257.792113,0.6640,0.2663,0.5072,1090.57,0.0
64,262144,1277.748160,0.8602,0.3050,0.5630,1249.38,0.0
65,266240,1297.649562,0.6392,0.3933,0.5649,1611.15,0.0
66,270336,1317.484946,1.4178,0.3662,0.5717,1499.98,0.0
67,274432,1337.587380,1.1687,0.4160,0.5498,1703.79,2.75
68,278528,1357.703979,0.9695,0.4133,0.6110,1693.05,0.0
69,282624,1377.766004,1.4704,0.4539,0.5792,1859.20,0.0
70,286720,1397.826218,0.8209,0.4266,0.5592,1747.17,0.0
71,290816,1418.076902,0.8614,0.3633,0.5679,1488.25,0.0
72,294912,1438.251580,0.8921,0.3202,0.5718,1311.60,0.0
73,299008,1458.392329,0.4130,0.3685,0.5672,1509.40,0.0
74,303104,1478.044977,1.0267,0.3631,0.5953,1487.27,0.0
75,307200,1497.957235,0.8752,0.4669,0.5849,1912.55,0.0
76,311296,1518.046126,1.1881,0.4255,0.5737,1742.95,0.0
77,315392,1538.097576,0.9689,0.4009,0.5596,1641.97,0.0
78,319488,1558.179120,0.7813,0.3959,0.5834,1621.52,0.0
79,323584,1578.100643,1.0967,0.3567,0.5650,1460.97,0.0
80,327680,1597.831954,0.5508,0.4635,0.5412,1898.37,0.0
81,331776,1617.529340,0.7130,0.4262,0.5738,1745.70,0.0
82,335872,1637.620156,1.1011,0.3404,0.5624,1394.15,0.0
83,339968,1657.622640,0.9340,0.3150,0.5357,1290.20,0.0
84,344064,1677.544669,0.8834,0.2854,0.5304,1169.18,0.0
85,348160,1697.164564,1.1232,0.4122,0.5771,1688.40,0.0
86,352256,1717.018872,0.6203,0.4237,0.5771,1735.27,0.0
87,356352,1736.819792,1.2999,0.4725,0.5763,1935.35,0.0
88,360448,1756.459315,1.1297,0.4155,0.6160,1701.97,0.0
89,364544,1776.028404,0.7955,0.4721,0.5818,1933.82,0.0
90,368640,1795.596065,0.6666,0.4224,0.5843,1730.32,0.0
91,372736,1815.123692,0.8801,0.3352,0.5212,1373.05,0.0
92,376832,1834.761071,0.9281,0.2937,0.5343,1202.91,2.625
