Loops,Steps,Time,AvgLoss,MeanReward,StdReward,TotalReward,Flags
1,4096,22.554879,-0.1192,0.1512,0.3158,619.12,0.0
2,8192,21.933530,0.5381,0.0317,0.1152,129.85,0.0
3,12288,20.263631,0.0823,0.0561,0.2122,229.85,0.0
4,16384,19.793414,0.5304,0.1110,0.3394,454.60,0.0
5,20480,20.162007,0.3742,0.1353,0.3657,554.38,0.0
6,24576,21.605297,0.5019,0.1297,0.3507,531.12,0.0
7,28672,21.733501,0.5673,0.1094,0.3067,447.90,0.0
8,32768,21.789703,0.3459,0.1214,0.3171,497.40,0.0
9,36864,21.796127,-0.0368,0.1160,0.3035,474.98,0.0
10,40960,21.298321,0.5296,0.1404,0.3469,574.93,0.0
11,45056,21.068339,0.2445,0.1397,0.3539,572.28,0.0
12,49152,20.817936,0.3772,0.1973,0.3732,808.25,0.0
13,53248,20.350226,0.4695,0.1254,0.3055,513.50,0.0
14,57344,19.856905,0.2968,0.1817,0.4024,744.40,0.0
15,61440,20.563213,0.3157,0.1452,0.3746,594.85,0.0
16,65536,19.845871,0.5602,0.2019,0.3866,827.15,0.0
17,69632,21.073812,0.6012,0.2242,0.4300,918.28,0.0
18,73728,21.555073,0.5123,0.2285,0.3982,935.75,0.0
19,77824,21.546773,0.7569,0.1872,0.4039,766.70,0.0
20,81920,21.486073,0.1698,0.2149,0.3902,880.35,0.0
21,86016,21.658666,0.4604,0.1999,0.4182,818.95,0.0
22,90112,21.815298,0.5021,0.2233,0.4314,914.55,0.0
23,94208,21.575553,0.3628,0.2388,0.4383,978.30,0.0
24,98304,21.961415,0.3955,0.2798,0.4601,1146.03,0.0
25,102400,21.371689,0.7056,0.2603,0.4575,1066.35,0.0
26,106496,21.186145,0.5627,0.2116,0.4080,866.70,0.0
27,110592,21.708179,0.2752,0.2754,0.4585,1127.88,0.0
28,114688,21.762139,0.5653,0.2876,0.4845,1178.18,0.0
29,118784,21.777284,0.7711,0.3284,0.4792,1345.10,2.75
30,122880,21.950284,0.9974,0.2862,0.4971,1172.09,0.0
31,126976,21.818258,0.6691,0.3095,0.5327,1267.90,0.0
32,131072,21.906569,0.7566,0.3011,0.5217,1233.30,0.0
33,135168,21.867751,0.7602,0.3131,0.5454,1282.43,0.0
34,139264,21.968220,0.7392,0.3449,0.5112,1412.62,0.0
35,143360,21.811309,0.8151,0.3536,0.5120,1448.28,0.0
36,147456,21.976469,1.0151,0.3547,0.5517,1452.72,0.0
37,151552,22.000928,1.0024,0.3339,0.5700,1367.53,0.0
38,155648,21.993240,0.4085,0.4198,0.5535,1719.62,0.0
39,159744,21.920450,1.1146,0.3437,0.5650,1407.75,0.0
40,163840,21.961411,0.8257,0.3195,0.5472,1308.53,0.0
41,167936,21.992577,0.7132,0.3643,0.5456,1492.03,0.0
42,172032,22.150152,0.8510,0.3317,0.5545,1358.78,0.0
43,176128,21.933253,0.8961,0.3937,0.5459,1612.77,0.0
44,180224,21.922895,1.0558,0.3848,0.5658,1576.28,0.0
45,184320,21.812003,0.8723,0.4145,0.5726,1697.90,0.0
46,188416,21.706186,1.0107,0.3956,0.5436,1620.32,0.0
