Process,Episodes,Time,Steps,TotalReward,EpisodeLength,Loss,gamemode,status,lives
Process,Episodes,Time,Steps,TotalReward,EpisodeLength,Loss,gamemode,status,lives
Process,Episodes,Time,Steps,TotalReward,EpisodeLength,Loss,gamemode,status,lives
Process,Episodes,Time,Steps,TotalReward,EpisodeLength,Loss,gamemode,status,lives
Process,Episodes,Time,Steps,TotalReward,EpisodeLength,Loss,gamemode,status,lives
4,1,0.03863167762756348,2374,130.0,459,-69.94774609804153,1,0,1
2,1,0.06408524513244629,48841,316.0,9820,-181.43055079877377,1,0,1
3,1,0.08176231384277344,49081,100.0,9820,-172.03391180932522,1,0,1
0,1,0.10889911651611328,49093,246.0,9825,-216.82608069479465,1,0,1
1,1,0.07331061363220215,49313,312.0,9816,-170.86445621401072,1,0,1
4,2,0.06652045249938965,51625,0.0,9820,-167.3565672263503,1,0,1
2,2,0.055280208587646484,97719,332.0,9814,-174.8379024732858,1,0,1
3,2,0.0814666748046875,97974,0.0,9820,-177.59667140059173,1,0,1
0,2,0.10966706275939941,98460,245.0,9820,-168.258502433775,1,0,1
1,2,0.11610245704650879,98462,295.0,9821,-171.9106481615454,1,0,1
4,3,0.06621122360229492,100794,0.0,9820,-178.87493801675737,1,0,1
3,3,0.2299184799194336,102409,144.0,899,-20.322009161114693,1,0,1
4,4,0.22923851013183594,102807,144.0,400,-5.481081149540842,1,0,1
3,4,0.22809696197509766,104400,144.0,400,-5.3042543567717075,1,0,1
4,5,0.22948002815246582,104829,144.0,400,-5.389529228210449,1,0,1
3,5,0.2301955223083496,106354,144.0,400,-3.7890471443533897,1,0,1
4,6,0.22914767265319824,106854,144.0,400,-4.136100888252258,1,0,1
3,6,0.22900986671447754,108354,144.0,400,-4.124249875545502,1,0,1
4,7,0.23025131225585938,108854,144.0,400,-3.7120744194835424,1,0,1
3,7,0.21218371391296387,110354,144.0,400,-6.390827743336558,1,0,1
4,8,0.22881197929382324,110854,144.0,400,-7.410594768822193,1,0,1
3,8,0.2318732738494873,112354,144.0,400,-5.406807638704777,1,0,1
4,9,0.2140660285949707,112854,144.0,400,-6.4709513038396835,1,0,1
3,9,0.23036909103393555,114354,144.0,400,-5.953173279762268,1,0,1
4,10,0.2335069179534912,114854,144.0,400,-5.837585479021072,1,0,1
3,10,0.2121584415435791,116354,144.0,400,-6.162017226219177,1,0,1
